Region,Year,Deaths,DeathsMale,DeathsFemale,NormalizedDeaths
Africa,1996,10281.952999999998,5415.351,4866.604,1.6958383981659395
Africa,1997,10413.275,5475.6939999999995,4937.573,1.7174977940145637
Africa,1998,10805.967,5693.236,5112.733,1.78226585629345
Africa,1999,10633.421,5585.137,5048.277,1.7538072422295712
Africa,2000,10614.286,5526.820000000001,5087.468,1.7506512398875156
Africa,2001,10727.636999999999,5568.801,5158.83,1.7693466159771072
Africa,2002,10799.228000000003,5606.285,5192.937999999999,1.7811543695004997
Africa,2003,10848.616000000002,5621.9220000000005,5226.692999999999,1.789300104732767
Africa,2004,10875.657000000001,5635.475,5240.177,1.7937600712512682
Africa,2005,10866.026999999998,5634.87,5231.159,1.7921717617370794
Africa,2006,10806.734000000002,5604.936000000001,5201.792999999999,1.7823923602807175
Africa,2007,10784.124,5603.7080000000005,5180.418,1.778663214058931
Africa,2008,10769.402,5600.204,5169.201,1.7762350632107604
Africa,2009,10679.218000000003,5570.113,5109.110000000001,1.7613607012972026
Africa,2010,10652.324,5562.071,5090.2519999999995,1.7569249800018145
Africa,2011,10594.141,5549.174,5044.966,1.7473286547199842
Africa,2012,10561.988000000001,5541.946,5020.037,1.7420255481976896
Africa,2013,10568.985,5563.78,5005.201,1.7431795878312073
Africa,2014,10590.002,5587.173999999999,5002.831999999999,1.7466459950025155
Africa,2015,10646.557000000003,5615.632,5030.927,1.755973808561698
Africa,2016,10651.831,5622.99,5028.842999999999,1.7568436677909636
Africa,2017,10694.838999999998,5649.450999999999,5045.3859999999995,1.7639371273533946
Africa,2018,10763.454999999998,5691.403,5072.052000000001,1.7752542037423409
Africa,2019,10840.677999999998,5737.340000000001,5103.3369999999995,1.7879908626846224
Africa,2020,11390.398,6055.677000000001,5334.719999999999,1.878658101120723
Africa,2021,12038.079,6400.686999999999,5637.397000000001,1.9854823892265445
Africa,2022,11962.500000000002,6349.669,5612.8330000000005,1.9730168809427604
Africa,2023,11673.264,6197.891999999999,5475.378,1.9253121778642763
Americas,1950,4477.618999999999,2463.412,2014.2040000000002,1.0
Americas,1951,4523.191,2489.479,2033.7089999999998,1.0101777306197783
Americas,1952,4525.355,2493.7709999999997,2031.5829999999999,1.0106610231911204
Americas,1953,4542.7609999999995,2505.6759999999995,2037.0810000000001,1.0145483570620906
Americas,1954,4493.433,2478.332,2015.101,1.0035317877648815
Americas,1955,4547.557000000001,2511.0019999999995,2036.5510000000004,1.0156194620399819
Americas,1956,4577.6359999999995,2529.02,2048.6189999999997,1.0223370947818473
Americas,1957,4656.934,2572.851,2084.08,1.0400469535259702
Americas,1958,4655.787,2572.4210000000003,2083.3689999999997,1.0397907905965205
Americas,1959,4680.289999999999,2589.246,2091.0389999999998,1.0452631186351498
Americas,1960,4729.775,2621.284,2108.493,1.0563147512104092
Americas,1961,4720.888999999999,2615.147,2105.747,1.0543302143393622
Americas,1962,4788.58,2651.1479999999997,2137.431,1.0694478471705613
Americas,1963,4865.389999999999,2695.5739999999996,2169.8070000000002,1.0866020534574292
Americas,1964,4849.0689999999995,2687.957,2161.113,1.0829570358710736
Americas,1965,4890.513,2714.494,2176.0129999999995,1.09221284794441
Americas,1966,4934.0740000000005,2736.3869999999997,2197.686,1.1019414559389715
Americas,1967,4931.964,2736.3830000000003,2195.576,1.1014702233486149
Americas,1968,5020.6810000000005,2784.9570000000003,2235.7209999999995,1.1212836554427703
Americas,1969,5030.005999999999,2789.339,2240.668,1.1233662354925689
Americas,1970,5092.424,2815.8189999999995,2276.6039999999994,1.1373062335138389
Americas,1971,5033.120000000001,2785.7789999999995,2247.3379999999997,1.1240616943960624
Americas,1972,5089.493,2818.268,2271.231,1.1366516445459074
Americas,1973,5091.269,2817.807,2273.463,1.1370482839205394
Americas,1974,5066.993,2800.216,2266.773,1.131626652468645
Americas,1975,5015.389,2779.1369999999997,2236.248,1.120101777306198
Americas,1976,5076.4439999999995,2806.228,2270.2160000000003,1.1337373724740762
Americas,1977,5049.145,2799.1530000000002,2249.9959999999996,1.1276406054199792
Americas,1978,5098.035000000001,2824.336,2273.702,1.1385593548714177
Americas,1979,5111.7300000000005,2832.832,2278.892,1.1416179000491113
Americas,1980,5200.718999999999,2871.1319999999996,2329.59,1.161492078714156
Americas,1981,5183.714,2863.988,2319.726,1.1576943013686518
Americas,1982,5199.067,2869.2169999999996,2329.854,1.1611231326291946
Americas,1983,5212.485,2864.5110000000004,2347.9770000000003,1.1641198145710927
Americas,1984,5232.025000000001,2870.085,2361.937,1.1684837410239688
Americas,1985,5293.304,2892.965,2400.337,1.1821693627796384
Americas,1986,5278.896000000001,2884.1580000000004,2394.74,1.1789515811863407
Americas,1987,5288.425,2886.428,2401.999,1.1810797211643067
Americas,1988,5333.848,2905.547,2428.2960000000003,1.1912241751698842
Americas,1989,5325.884,2906.568,2419.32,1.1894455513075144
Americas,1990,5344.885,2926.3509999999997,2418.5389999999998,1.1936891012835174
Americas,1991,5374.014999999999,2940.333,2433.6820000000007,1.200194791026213
Americas,1992,5391.866,2948.5650000000005,2443.294,1.2041815080738225
Americas,1993,5507.068,3001.1510000000003,2505.916,1.229909914175369
Americas,1994,5525.251,3001.7349999999997,2523.5229999999997,1.2339707777727407
Americas,1995,5588.714,3033.281,2555.4300000000003,1.2481441587593767
Americas,1996,5603.728999999999,3029.657,2574.074,1.2514975034722697
Americas,1997,5624.593999999999,3032.2740000000003,2592.321,1.256157346125251
Americas,1998,5686.460000000001,3053.5429999999997,2632.92,1.2699740643408926
Americas,1999,5748.106,3078.224,2669.875,1.2837416493006666
Americas,2000,5781.302,3107.189,2674.119,1.291155410944969
Americas,2001,5829.486999999999,3134.67,2694.821,1.301916710644653
Americas,2002,5880.192,3161.4030000000002,2718.786,1.3132408094569907
Americas,2003,5947.267,3186.567,2760.696,1.3282208691717632
Americas,2004,5918.703,3178.9909999999995,2739.718,1.3218415858964334
Americas,2005,5981.55,3207.797,2773.754,1.3358773937666428
Americas,2006,6011.329,3227.74,2783.589,1.342528026614145
Americas,2007,6090.299999999999,3271.232,2819.07,1.3601648554734114
Americas,2008,6188.3060000000005,3317.263,2871.04,1.3820528276300423
Americas,2009,6212.209000000001,3334.3589999999995,2877.8549999999996,1.3873911558799448
Americas,2010,6405.404,3430.3329999999996,2975.0729999999994,1.4305379711851325
Americas,2011,6416.272,3436.286,2979.9839999999995,1.4329651540249408
Americas,2012,6501.463,3491.736,3009.7309999999998,1.4519911140273438
Americas,2013,6602.6950000000015,3542.2870000000003,3060.407,1.4745995583813638
Americas,2014,6691.540000000001,3591.461,3100.0880000000006,1.494441577097114
Americas,2015,6871.033,3698.8409999999994,3172.187,1.5345282838937395
Americas,2016,7026.505999999999,3806.51,3219.9979999999996,1.5692505324816608
Americas,2017,7153.731,3865.4670000000006,3288.2659999999996,1.597664071016315
Americas,2018,7255.921,3933.202,3322.72,1.6204864683663354
Americas,2019,7320.700000000001,3981.8849999999998,3338.817,1.6349537555562461
Americas,2020,8610.676000000001,4756.801,3853.8770000000004,1.9230479413277466
Americas,2021,9114.036,5049.244000000001,4064.7929999999997,2.035464830750451
Americas,2022,8451.515,4594.9259999999995,3856.5919999999996,1.8875020407051162
Americas,2023,7622.512999999999,4117.978,3504.5370000000003,1.7023585526146823
Asia,1950,31626.481999999996,16791.221999999998,14835.258,1.0
Asia,1951,31092.801999999996,16385.468,14707.334,0.9831255338485008
Asia,1952,30549.950999999997,15978.679999999998,14571.271,0.9659610891910141
Asia,1953,30398.371000000003,15845.627000000002,14552.744,0.9611682703122025
Asia,1954,30052.673000000003,15651.634999999998,14401.036,0.9502376204852632
Asia,1955,30023.146,15673.645000000002,14349.501000000002,0.9493040041570228
Asia,1956,29862.655000000002,15592.311,14270.341999999999,0.9442294277308493
Asia,1957,30004.37,15673.646999999999,14330.729999999998,0.948710324467957
Asia,1958,29771.578999999998,15576.695,14194.886999999999,0.9413496891623925
