Year,Births,Deaths,DeathsMale,DeathsFemale,NormalizedBirths,NormalizedDeaths
2006,136875.618,53006.71699999999,28442.932,24563.777000000002,1.4869856830351391,1.08669073607141
2007,138528.68,53383.319,28688.611,24694.708,1.504944173839319,1.0944114538926246
2008,140128.205,54029.691999999995,29001.748,25027.944999999996,1.5223210508128115,1.1076627471418683
2009,141164.578,53902.233,28983.603000000003,24918.648999999998,1.5335799721298589,1.1050497101086765
2010,141597.381,54321.25600000001,29187.032,25134.226,1.538281845801579,1.1136401008755836
2011,142105.572,54385.761,29243.452999999998,25142.303,1.5438027176141709,1.1149625179181308
2012,144164.218,54781.91,29478.04,25303.860999999997,1.56616738104486,1.1230839687977232
2013,143390.42299999998,55026.46,29632.9,25393.566000000003,1.557761047591051,1.128097488490072
2014,143643.882,55209.708000000006,29716.242000000006,25493.471999999998,1.5605145687056474,1.1318542558447382
2015,142584.037,55884.82200000001,30027.861999999997,25856.958000000002,1.5490006529019111,1.1456947683517118
2016,143216.193,56192.235,30262.68,25929.556,1.5558682523705378,1.151997042443652
2017,142602.07200000001,56957.113999999994,30747.157,26209.958000000002,1.5491965810532167,1.1676778272678765
2018,139607.818,57342.561,30904.28,26438.285,1.516667684421161,1.1755798764392396
2019,137964.762,57929.531,31237.386,26692.147999999994,1.4988178965325323,1.187613348750906
2020,135113.834,63162.064000000006,34309.88,28852.182,1.4678460610712014,1.2948855108296846
2021,133956.085,69236.514,37518.391,31718.129000000004,1.4552685384071702,1.41941781381553
2022,133972.197,67087.556,36122.838,30964.718999999997,1.4554435755224369,1.375362024606654
2023,134261.055,60750.94,32657.171999999995,28093.780000000002,1.4585816633477657,1.2454550563022055
